id,name,year,metacritic_rating,reviewer_rating,positivity_ratio,to_beat_main,to_beat_extra,to_beat_completionist,extra_content_length,tags
1628470,Monster Academy,2021,,,4.0,4.41,4.53,4.71,0.2999999999999998,Story Rich|Pixel Graphics|Dating Sim|Old School|Adventure|Romance|Action RPG|Top-Down|RPG|Multiple Endings|RPGMaker|Funny|Fantasy|Singleplayer|Choose Your Own Adventure|Colorful|Choices Matter|Anime|Family Friendly|2D
1724060,Always The Same Nightmare,2021,,,4.0,,,,,Action-Adventure|Side Scroller|Gun Customization|Action|Pixel Graphics|Adventure|Combat|Platformer|Score Attack|2D Platformer|Tutorial|Retro|Linear|Precision Platformer|Perma Death|Time Travel|Time Manipulation|Supernatural|2D
1431380,Mage World - The Wizard's Stone,2020,,,1.25,,,,,Platformer|Magic|Cute|Action-Adventure|Arcade|Casual|Side Scroller|Fantasy|Cartoony|Family Friendly|Retro|Action|2D|Tutorial|Adventure|Female Protagonist|2D Platformer|Early Access
1548660,Bunker Down,2021,,,5.0,,,,,Story Rich|Dystopian |Strategy|Pixel Graphics|Dynamic Narration|Multiple Endings|Text-Based|Destruction|Post-apocalyptic|Clicker|Funny|Casual|Capitalism|Dark Humor|Singleplayer|Choose Your Own Adventure|Dark Comedy|Choices Matter|2D|Sci-fi
1084770,Gregor Hills Haunted Hospital,2019,,5,1.1666666666666667,,,,,Horror|Story Rich|Pixel Graphics|Old School|Adventure|Exploration|Walking Simulator|Gore|Survival Horror|Casual|Indie|Cartoony|Retro|Blood|Singleplayer|Colorful|Addictive|2D|Minimalist
1276320,Naught,2020,,7,4.5,2.54,3.17,5.0,2.46,Story Rich|Action-Adventure|Side Scroller|Action|2.5D|Platformer|Physics|Atmospheric|Beautiful|2D Platformer|Noir|Mystery|Casual|Linear|Singleplayer|Emotional|Abstract|Dark|2D|Minimalist|Stylized
1380470,Water Rain,2020,,5,1.8,,,,,Multiplayer|Procedural Generation|Atmospheric|Management|Casual|Free to Play|Strategy|Indie|Retro|Real Time Tactics|Agriculture|RTS|Pixel Graphics|Top-Down|2D|Singleplayer|PvP
1448460,Diodius ~PREMONITION~,2020,,7,4.5,,,,,Combat|Top-Down Shooter|Flight|Arcade|Anime|Fantasy|Action|2D|Futuristic|Top-Down|Singleplayer|Military|Bullet Hell
1501800,Rope Cow - Rope it to The Cow,2021,,7,10.0,,,,,Story Rich|Action-Adventure|Dystopian |Side Scroller|Action|Adventure|Platformer|Surreal|Comedy|2D Platformer|Parody |Funny|Arcade|Casual|Time Management|Indie|Short|Singleplayer|Hand-drawn|2D
1466260,Two Die,2021,,,9.0,4.0,,4.36,0.3600000000000003,Story Rich|Lore-Rich|Strategy|Action|Pixel Graphics|Tactical RPG|PvE|Turn-Based Combat|Strategy RPG|CRPG|Top-Down|RPG|Turn-Based Tactics|Tabletop|Perma Death|Grid-Based Movement|Dungeon Crawler|Turn-Based Strategy|2D|Board Game
1435480,10mg: Sealed Estate,2020,,7,3.0,0.23,,0.26,0.03,Story Rich|Visual Novel|Quick-Time Events|Crime|Action|Pixel Graphics|Atmospheric|Exploration|Investigation|Psychological Horror|Top-Down|Dynamic Narration|Dark Fantasy|Psychological|Abstract|2D|Conspiracy|Minimalist|Experimental|Stylized
1447080,SMFly: Ice Age,2021,,7,3.0,,,,,1980s|Platformer|Character Action Game|Colorful|Cute|First-Person|Atmospheric|Precision Platformer|Arcade|Casual|Puzzle|Family Friendly|2D|Futuristic|Minimalist|Adventure|2D Platformer|Early Access
1479370,Pixel Game Maker Series Werewolf Princess Kaguya,2020,,7,12.0,,,,,Space|Character Action Game|Cute|Story Rich|Medieval|Arcade|Character Customization|Indie|Hack and Slash|Retro|Action|Pixel Graphics|Top-Down|2D|Fantasy|Comedy|Singleplayer|2D Platformer
1454580,Trump VS Covid: Save The World Clicker,2021,,5,1.5,,,,,Strategy|Grand Strategy|Outbreak Sim|Pixel Graphics|2.5D|Modern|Political Sim|Management|Clicker|Politics|Cartoony|Capitalism|Dark Humor|America|Simulation|Idler|2D|Experimental|Stylized|Economy
1302000,Infectious,2020,,5,1.4375,8.21,12.15,14.65,6.4399999999999995,Action|Outbreak Sim|Stealth|Atmospheric|Science|Runner|Clicker|Survival Horror|Arcade|Casual|Survival|Indie|Linear|Simulation|Singleplayer|Realistic|Hand-drawn|Education|2D|Replay Value
1402000,Trapped Guys,2020,,6,2.5555555555555554,,,,,Multiplayer|Strategy|Action|Pixel Graphics|Adventure|Parkour|Platformer|6DOF|Team-Based|Puzzle|Score Attack|Runner|Co-op|Comedy|RPG|2D Platformer|Multiple Endings|Relaxing|Racing|Arcade|Casual|Precision Platformer|Singleplayer|Emotional|Colorful|Cute|Online Co-Op|Family Friendly|2D|Stylized|Sports
1459560,Untitled Space Game,2020,,5,1.6428571428571428,,,,,Multiplayer|Strategy|Action|Pixel Graphics|Old School|Fighting|Free to Play|Competitive|Top-Down|Local Multiplayer|1980s|Top-Down Shooter|Arcade|Retro|PvP|Space|Bullet Hell|2D|Minimalist
1478320,Parallel Shift,2021,,7,11.5,,,,,Side Scroller|Pixel Graphics|Futuristic|Adventure|Platformer|Puzzle|Science|Runner|2D Platformer|Arcade|Casual|Retro|Linear|Precision Platformer|Time Travel|Time Manipulation|Dark|2D|Sci-fi
1433940,Adventure of Bears,2020,,6,3.3333333333333335,1.75,,,-1.75,Robots|Platformer|Hunting|Violent|Funny|Mystery|Casual|Stylized|Hidden Object|Indie|Shooter|Action|2D|Sports|Adventure|Simulation|Singleplayer|2D Platformer
1278960,Super Forklift 3000,2020,,7,31.0,,,,,Action|Pixel Graphics|Futuristic|Puzzle|Memes|Score Attack|Top-Down|Female Protagonist|Top-Down Shooter|Arcade|Casual|Indie|Retro|Replay Value|Shooter|Singleplayer|Bullet Hell|Space|Colorful|Aliens|Cute|2D|Minimalist|Difficult|Great Soundtrack|Sci-fi
1121200,Silicon City,2021,,7,4.714285714285714,,,,,Procedural Generation|Multiplayer|Level Editor|Political|Modern|Building|Political Sim|Management|City Builder|Isometric|Co-op|Top-Down|Local Multiplayer|Early Access|Transportation|Sandbox|God Game|3D|Moddable|Indie|Capitalism|Retro|Singleplayer|Simulation|Choices Matter|2D|Economy
710220,DreadStar: The Quest for Revenge,2020,,6,3.0,,,,,Fast-Paced|Action|Pixel Graphics|Old School|Soundtrack|Top-Down|RPG|Top-Down Shooter|Arcade|Indie|Retro|Shooter|Singleplayer|Bullet Hell|Space|Inventory Management|2D|Great Soundtrack|Sci-fi
1330260,Welcome to Elk: The First Stories,2020,,7,16.5,,,,,Hand-drawn|Story Rich|Exploration|Mystery|Casual|Free to Play|Indie|2D|Experimental|Adventure|Female Protagonist|Stylized|Singleplayer
1034930,Nine Witches: Family Disruption - Prologue,2020,,7,22.0,,,,,Story Rich|Funny|Puzzle|Casual|Free to Play|Indie|Retro|Dark Humor|Action|Pixel Graphics|2D|Adventure|Comedy|Singleplayer
1274090,Hotfix,2020,,6,3.066666666666667,,,,,Robots|Procedural Generation|Action|Pixel Graphics|Combat|Building|Exploration|Early Access|Post-apocalyptic|Crafting|Mining|Survival|Shooter|Singleplayer|Open World Survival Craft|Loot|2D|Open World|Sandbox
629230,The StoryTale,2019,,8,6.555555555555555,,,5.02,5.02,Magic|Fast-Paced|Story Rich|Action-Adventure|Side Scroller|Action|Pixel Graphics|Platformer|Atmospheric|Controller|Female Protagonist|Comedy|2D Platformer|Early Access|Dark Fantasy|Funny|Fantasy|Indie|Linear|Singleplayer|Cute|Family Friendly|2D|Difficult
