steam_appid,name,developers,publishers,categories,genres,required_age,n_achievements,platforms,is_released,release_date,additional_content,total_reviews,total_positive,total_negative,review_score,review_score_desc,positive_percentual,metacritic,is_free,price_initial (USD)
1581860,Unlocked,['James Smart'],['James Smart'],"['Single-player', 'Steam Achievements', 'Family Sharing']","['Adventure', 'Casual', 'Indie', 'Simulation']",0,35,['windows'],True,2021-06-18 00:00:00,[],12,11,1,7.0,Positive,91.7,0,False,2.99
1581880,Super Mega Zero,['Silkworm'],"['Rogue Games, Inc.']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']","['Action', 'Indie']",0,13,['windows'],True,2022-04-20 00:00:00,['Super Mega Zero Soundtrack'],16,16,0,7.0,Positive,100.0,0,False,9.99
1581190,Toilet Paper War,['SKY-E RED'],['SKY-E RED'],"['Single-player', 'Family Sharing']","['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']",0,0,['windows'],True,2021-05-07 00:00:00,[],2,1,1,0.0,2 user reviews,50.0,0,False,1.99
1581200,Enemy Engaged 2: Desert Operations,['G2 Games'],['Strategy First'],"['Single-player', 'Family Sharing']","['Action', 'Simulation']",0,0,['windows'],True,2022-04-18 00:00:00,[],5,3,2,0.0,5 user reviews,60.0,0,False,8.99
1581210,Sword Princess Amaltea - The Visual Novel,['Senpai Media Group'],['Natalia Batista'],"['Single-player', 'Steam Achievements', 'Family Sharing']","['Adventure', 'Indie', 'RPG', 'Simulation']",0,18,"['windows', 'mac', 'linux']",True,2021-10-21 00:00:00,[],3,2,1,0.0,3 user reviews,66.7,0,False,9.99
1581220,L.S.D.: Prologue to Lasting Spiritual Derangement,['Fabiulous Games'],['Fabiulous Games'],"['Single-player', 'Steam Achievements', 'Full controller support']","['Action', 'Adventure', 'Free To Play', 'Indie', 'Simulation']",0,3,"['windows', 'mac']",True,2021-04-07 00:00:00,[],0,0,0,0.0,No user reviews,0.0,0,True,0.0
1581240,Der Geisterjäger / The Ghost Hunter,['Graverobber Foundation'],['Graverobber Foundation'],"['Single-player', 'Family Sharing']","['Adventure', 'Indie', 'RPG']",0,0,"['windows', 'linux']",True,2021-08-26 00:00:00,['Der Geisterjäger Original Soundtrack'],7,7,0,0.0,7 user reviews,100.0,0,False,17.99
1581250,"A Nerd who has sex with girls in ""Another world"" has  become a HERO",['Nikuyaki Inn'],['Nikuyaki Inn'],"['Single-player', 'Family Sharing']",['Casual'],0,0,['windows'],True,2021-04-19 00:00:00,[],22,14,8,5.0,Mixed,63.6,0,False,4.99
1581280,Combat Labs,['Connor Minns'],['Connor Minns'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Steam Achievements', 'Family Sharing']","['Action', 'Indie']",0,8,['windows'],True,2021-04-10 00:00:00,[],6,6,0,0.0,6 user reviews,100.0,0,False,1.99
1581300,The Great Menace,['lbfc5'],['Wolfhaze'],['Single-player'],['Strategy'],0,0,['windows'],False,Not Released,[],0,0,0,0.0,No user reviews,0.0,0,False,0.0
1581320,Earth Guard: Egypt,['Platri IT'],['Platri IT'],"['Single-player', 'Tracked Controller Support', 'VR Only']",['Action'],0,0,['windows'],True,2021-09-08 00:00:00,[],0,0,0,0.0,No user reviews,0.0,0,True,0.0
1581380,Survive Into Night,['Genetix Studio'],['Not Famous'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Family Sharing']","['Action', 'RPG', 'Strategy']",0,9,['windows'],True,2021-08-04 00:00:00,[],2,1,1,0.0,2 user reviews,50.0,0,False,0.99
1581410,K.O. Cult,['Looks Cozy Labs'],['Looks Cozy Labs'],"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Full controller support', 'Remote Play Together']","['Action', 'Indie']",0,0,['windows'],False,Not Released,[],0,0,0,0.0,No user reviews,0.0,0,False,0.0
1581420,Pets No More,['Purple Tree S R L'],['Purple Tree S R L'],"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Full controller support', 'Remote Play Together', 'Family Sharing']",['Sports'],0,0,['windows'],True,2021-07-25 00:00:00,[],6,4,2,0.0,6 user reviews,66.7,0,False,4.99
1581440,QUADRICOLOR: Ultra Sentai Color Ranger,['Quadri Team'],['Quadri Team'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards', 'Remote Play Together', 'Family Sharing']","['Action', 'Indie', 'Early Access']",0,54,['windows'],True,2024-10-22 00:00:00,[],3,3,0,0.0,3 user reviews,100.0,0,False,4.99
1581470,HARU,"['Ahmed Sheehan', 'Weston Bell-Geddes']",['Spookulele Games'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available']","['Action', 'Adventure', 'Casual', 'Free To Play', 'Indie', 'RPG', 'Simulation']",0,0,"['windows', 'mac']",False,Not Released,[],0,0,0,0.0,No user reviews,0.0,0,False,0.0
